Trade Id,Exec Id,Account Id,Instrument Symbol,Instrument Name,Order Id,Currency,Execution Type,Quantity,Price,Take Profit,Stop Loss,gsl,Source,Status,rpl,Rpl Converted,Swap,Swap Converted,Fee,Timestamp,Account type
"00513301-0001-54c4-0000-000080286501","00513301-0001-54c4-0000-4a0200005b07","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-00008028730e","USD","IOC","0.7","1011.07","","","false","USER","CLOSED","-18.98","-16.7","","","0","2021-11-15 20:40:31","CFD"
"0018314c-0001-54c4-0000-000080241d40","0018314c-0001-54c4-0000-4a020000de5b","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241d3f","USD","IOC","120","10.76","","","false","USER","OPENED","0","0","","","0","2021-11-15 19:51:29","CFD"
"00513301-0001-54c4-0000-000080286501","00513301-0001-54c4-0000-4a0200002e8a","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080286500","USD","IOC","-0.7","983.96","","","false","USER","OPENED","0","0","","","0","2021-11-15 15:26:02","CFD"
"0018314c-0001-54c4-0000-000080241af2","0018314c-0001-54c4-0000-4a020000487c","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241b49","USD","IOC","-100","11.01","13.16","11.01","false","SL","CLOSED","2","1.75","","","0","2021-11-15 15:10:13","CFD"
"0018314c-0001-54c4-0000-000080241af2","0018314c-0001-54c4-0000-4a020000369e","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241a9a","USD","GTC","100","10.99","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-15 14:45:49","CFD"
"0018314c-0001-54c4-0000-00008024197c","0018314c-0001-54c4-0000-4a020000131c","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241a40","USD","IOC","-40","11.27","","","false","USER","CLOSED","2.8","2.45","","","0","2021-11-15 12:21:12","CFD"
"0018314c-0001-54c4-0000-00008024197c","0018314c-0001-54c4-0000-49ff00011010","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-00008024197b","USD","IOC","40","11.2","","","false","USER","OPENED","0","0","","","0","2021-11-12 21:59:17","CFD"
"0018314c-0001-54c4-0000-000080241938","0018314c-0001-54c4-0000-49ff0000f62e","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241947","USD","IOC","-125","11.01","13.08","11.01","false","SL","CLOSED","5","4.37","","","0","2021-11-12 19:31:48","CFD"
"0018314c-0001-54c4-0000-000080241938","0018314c-0001-54c4-0000-49ff0000f10b","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241937","USD","IOC","125","10.97","","","false","USER","OPENED","0","0","","","0","2021-11-12 19:03:05","CFD"
"00513301-0001-54c4-0000-00008028274b","00513301-0001-54c4-0000-49ff00000f00","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080283644","USD","GTC","0.1","1035","1035","","false","TP","CLOSED","0","0","","","0","2021-11-12 14:41:56","CFD"
