tradeId,trade_type,trade_currency,opened_date,closed_date,price_1,price_2,price_1_in_euros,price_2_in_euros,quantity_1,quantity_2,purchase_price,sales_price,purchase_price_in_euros,sales_price_in_euros,profit_loss_in_original_currency,profit_loss_in_euros,profit_loss_in_euros_calculated
0001934d-0001-54c4-0000-000080020466,LONG,USD,2021-07-08 19:55:11,2021-07-13 14:42:08,16.55,15.03,13.980402094948472,12.696401419158642,-14.0,14.0,210.42,231.7,177.75,195.73,21.28,17.99,17.98
0001934d-0001-54c4-0000-00008002038e,LONG,USD,2021-07-08 13:45:04,2021-07-08 14:04:08,15.49,15.09,13.084980571042406,12.747085656360872,-14.0,14.0,211.26,216.86,178.46,183.19,5.6,4.72,4.73
0001934d-0001-54c4-0000-000080010bb8,LONG,USD,2021-07-02 16:14:59,2021-07-06 19:41:05,17.02,19.53,14.395669457836421,16.51865008880995,-10.0,10.0,195.3,170.2,165.19,143.96,-25.1,-21.23,-21.23
0001934d-0001-54c4-0000-000080010a16,LONG,USD,2021-07-01 13:32:13,2021-07-06 19:41:05,17.02,19.05,14.321777179400875,16.029956243688996,-10.0,10.0,190.5,170.2,160.3,143.22,-20.3,-17.17,-17.08
0001934d-0001-54c4-0000-00008001030e,LONG,USD,2021-06-28 14:20:12,2021-06-30 17:40:49,18.64,17.87,15.65071368597817,15.004198152812762,-30.0,30.0,536.1,559.2,450.13,469.52,23.1,19.49,19.39
0008e1cf-0001-54c4-0000-0000800000cb,LONG,USD,2021-06-24 14:53:55,2021-06-25 19:43:37,7.39,7.2,6.191353887399464,6.032171581769437,-20.0,20.0,144.0,147.8,120.64,123.83,3.8,3.18,3.19
0008e1cf-0001-54c4-0000-0000800000b0,LONG,USD,2021-06-24 13:41:34,2021-06-25 16:13:47,7.43,7.37,6.224865951742627,6.174597855227882,-30.0,30.0,221.1,222.9,185.24,186.75,1.8,1.51,1.51
0008e1cf-0001-54c4-0000-0000800000f3,LONG,USD,2021-06-24 17:43:10,2021-06-25 15:41:12,7.32,7.18,6.132707774798928,6.015415549597855,-43.0,43.0,308.74,314.76,258.66,263.71,6.02,5.04,5.05
0045435d-0001-54c4-0000-000080201404,LONG,USD,2021-06-24 16:19:15,2021-06-24 17:32:17,6.13,6.1,5.135723860589812,5.11058981233244,-50.0,50.0,305.0,306.5,255.53,256.79,1.5,1.01,1.26
005505cb-0001-54c4-0000-0000801f008b,LONG,USD,2021-06-24 14:22:37,2021-06-24 15:17:06,57.88,56.93,48.49195710455764,47.696045576407506,-5.0,5.0,284.65,289.4,238.48,242.46,4.75,3.98,3.98
0001934d-0001-54c4-0000-000080010062,LONG,USD,2021-06-24 13:31:35,2021-06-24 14:02:07,21.1,20.82,17.67761394101877,17.443029490616624,-20.0,20.0,416.4,422.0,348.86,353.55,5.6,4.6899999999999995,4.69
0015421d-0001-54c4-0000-000080622b16,LONG,USD,2021-06-23 20:02:09,2021-06-23 21:18:51,1950.82,1933.91,1632.3487574261567,1618.1993138649486,-0.2,0.2,386.78,390.16,323.64,326.47,3.38,2.84,2.83
0008e1cf-0001-54c4-0000-000080000096,LONG,USD,2021-06-23 15:03:20,2021-06-23 19:33:00,7.28,7.2,6.091540456865534,6.024600451845034,-5.0,5.0,36.0,36.4,30.12,30.46,0.4,0.34,0.34
0001934d-0001-54c4-0000-000080000375,LONG,USD,2021-06-23 17:08:50,2021-06-23 17:18:56,20.87,20.54,17.462973809723035,17.18684628901347,-20.0,20.0,410.8,417.4,343.74,349.26,6.6,5.53,5.52
0008e1cf-0001-54c4-0000-00008000006e,LONG,USD,2021-06-22 13:52:01,2021-06-23 13:42:22,7.24,7.09,6.087102740877754,5.960988733815369,-63.0,63.0,446.67,456.12,375.54,383.49,9.45,7.9,7.95
0008e1cf-0001-54c4-0000-00008000007e,LONG,USD,2021-06-22 19:42:14,2021-06-23 13:41:44,7.24,7.15,6.087102740877754,6.011434336640323,-10.0,10.0,71.5,72.4,60.11,60.87,0.9,0.75,0.76
